uid,namedLocation,domainID,siteID,plotID,trapID,weighDate,setDate,collectDate,eventID,ovenStartDate,ovenEndDate,fieldSampleID,sampleCondition,massSampleID,samplingProtocolVersion,biogeoSample,functionalGroup,dryMass,qaDryMass,remarks,measuredBy
"3e242857-43fe-4d7b-998b-c531cfb44f3a","BART_047.basePlot.ltr","D01","BART","BART_047","BART_047_864","2022-07-01","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:37Z","2022-06-30T13:46Z","NEON.LTR.BART047864.20220607","OK","NEON.LTR.BART047864.20220607.TWI","NEON.DOC.001710vJ","M","Twigs/branches",3.3300,"N",,
"a1298e93-630e-4a1d-9c47-a1e45394d588","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2022-07-05","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:46Z","2022-07-04T13:38Z","NEON.LTR.BART073409.20220607","OK","NEON.LTR.BART073409.20220607.TWI","NEON.DOC.001710vJ","M","Twigs/branches",0.5700,"Y",,
"b3493f97-9d6a-412b-861d-99469a92ea2e","BART_047.basePlot.ltr","D01","BART","BART_047","BART_047_864","2022-06-28","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:37Z","2022-06-27T21:37Z","NEON.LTR.BART047864.20220607","OK","NEON.LTR.BART047864.20220607.LVS","NEON.DOC.001710vJ","N","Leaves",0.5400,"N",,
"eaf4d3fd-24de-4036-94e3-8ab425543a7f","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_539","2022-07-01","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:04Z","2022-06-30T12:57Z","NEON.LTR.BART073539.20220607","OK","NEON.LTR.BART073539.20220607.TWI","NEON.DOC.001710vJ","M","Twigs/branches",0.1900,"N",,
"acf02ef5-aafc-496c-a226-17b158f3ceec","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_158","2022-06-28","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:34Z","2022-06-27T21:34Z","NEON.LTR.BART040158.20220607","OK","NEON.LTR.BART040158.20220607.FLR","NEON.DOC.001710vJ","M","Flowers",0.4500,"N",,
"e715824f-7374-4b8a-8cb2-c742ca4fcac7","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_539","2022-06-28","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:04Z","2022-06-27T20:50Z","NEON.LTR.BART073539.20220607","OK","NEON.LTR.BART073539.20220607.LVS","NEON.DOC.001710vJ","M","Leaves",2.0400,"N",,
"6554512f-15b2-489a-bb5d-812cbca95982","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2022-06-28","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:46Z","2022-06-27T21:47Z","NEON.LTR.BART073409.20220607","OK","NEON.LTR.BART073409.20220607.FLR","NEON.DOC.001710vJ","M","Flowers",0.3700,"N",,
"d4c198b6-3ef0-41e0-9c10-89b73e18d28f","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2022-06-28","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:46Z","2022-06-27T21:47Z","NEON.LTR.BART073409.20220607","OK","NEON.LTR.BART073409.20220607.LVS","NEON.DOC.001710vJ","M","Leaves",0.3600,"N",,
"a6612835-81eb-4ba4-9e3e-3ba7637d157b","BART_047.basePlot.ltr","D01","BART","BART_047","BART_047_864","2022-06-28","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:37Z","2022-06-27T21:37Z","NEON.LTR.BART047864.20220607","OK","NEON.LTR.BART047864.20220607.SDS","NEON.DOC.001710vJ","M","Seeds",1.1400,"N",,
"ebf3318f-3f3f-45c9-859f-111de256754f","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2022-06-28","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:46Z","2022-06-27T21:47Z","NEON.LTR.BART073409.20220607","OK","NEON.LTR.BART073409.20220607.NDL","NEON.DOC.001710vJ","M","Needles",0.9000,"N",,
"9b2afae2-f5c4-4056-8ad1-97684bbf7baa","BART_047.basePlot.ltr","D01","BART","BART_047","BART_047_864","2022-06-28","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:37Z","2022-06-27T21:37Z","NEON.LTR.BART047864.20220607","OK","NEON.LTR.BART047864.20220607.FLR","NEON.DOC.001710vJ","M","Flowers",0.6000,"N",,
"9763a452-248a-4857-8d95-b7a9dbbf49e1","BART_047.basePlot.ltr","D01","BART","BART_047","BART_047_864","2022-07-01","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:37Z","2022-06-30T13:46Z","NEON.LTR.BART047864.20220607","OK","NEON.LTR.BART047864.20220607.WDY","NEON.DOC.001710vJ","M","Woody material",0.5300,"N",,
"4d19984f-6864-4a62-ba30-6cc12e4ffba8","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_158","2022-06-28","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:32Z","2022-06-27T21:32Z","NEON.LTR.BART040158.20220607","OK","NEON.LTR.BART040158.20220607.LVS","NEON.DOC.001710vJ","M","Leaves",0.9200,"N",,
"6298fdaa-c02b-4f61-93f3-1b56cfca2954","BART_047.basePlot.ltr","D01","BART","BART_047","BART_047_864","2022-06-28","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:37Z","2022-06-27T21:37Z","NEON.LTR.BART047864.20220607","OK","NEON.LTR.BART047864.20220607.OTH","NEON.DOC.001710vJ","M","Other",0.8500,"N",,
"8f7a5af1-de0a-4d9a-a773-dab5271503f1","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_539","2022-07-01","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:04Z","2022-06-30T12:57Z","NEON.LTR.BART073539.20220607","OK","NEON.LTR.BART073539.20220607.WDY","NEON.DOC.001710vJ","M","Woody material",0.2900,"N",,
"cbabc7be-de48-4b73-bb3c-6b7385b4dc36","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_158","2022-06-28","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:32Z","2022-06-27T21:33Z","NEON.LTR.BART040158.20220607","OK","NEON.LTR.BART040158.20220607.MXT","NEON.DOC.001710vJ","M","Mixed",2.1900,"Y",,
"101a3ae0-6025-476e-accd-a39d456afcf3","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_884","2022-06-29","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:15Z","2022-06-27T09:16Z","NEON.LTR.BART040884.20220607","OK","NEON.LTR.BART040884.20220607.SDS","NEON.DOC.001710vJ","M","Seeds",1.2900,"N",,
"bc45fc47-37e3-4ff3-a8d1-36978bd43bb1","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_884","2022-07-01","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:15Z","2022-06-30T13:35Z","NEON.LTR.BART040884.20220607","OK","NEON.LTR.BART040884.20220607.TWI","NEON.DOC.001710vJ","M","Twigs/branches",0.0200,"N",,
"9950652b-a908-4a46-9686-81bd64eec730","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2022-07-01","2022-05-09","2022-06-07","LTR.2022.BART.23","2022-06-20T18:46Z","2022-06-30T13:08Z","NEON.LTR.BART073409.20220607","OK","NEON.LTR.BART073409.20220607.WDY","NEON.DOC.001710vJ","M","Woody material",1.1500,"N",,
