uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"8695e3ca-89c8-4e47-bc71-8aa2e5cda16e","2023-04-17","BART_036.basePlot.ltr","D01","BART","BART_036","tower","2021-10-26T16:00Z","2022-04-12T16:00Z","NEON.LTR.BART.2022.MXT","NEON.LTR.BART.2022.MXT.CN","A00000154999","vegetation","N",-2.8,-28.7,1.28,51.77,40.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","H2ehOOFsaDPhLGs9nIVRag==","bEP9Ut5BMUSEVHTehx6p8Q==",
"e3acc996-404a-4c60-ba4e-a160025e0bd4","2023-04-17","BART_036.basePlot.ltr","D01","BART","BART_036","tower","2021-10-26T16:00Z","2022-04-12T16:00Z","NEON.LTR.BART.2022.WDY","NEON.LTR.BART.2022.WDY.CN","A00000154916","vegetation","N",-3.5,-26.6,0.60,51.76,86.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","H2ehOOFsaDPhLGs9nIVRag==","bEP9Ut5BMUSEVHTehx6p8Q==",
"0ab98c32-10a7-4c0f-a4de-1e963910b602","2023-04-17","BART_036.basePlot.ltr","D01","BART","BART_036","tower","2021-10-26T16:00Z","2022-04-12T16:00Z","NEON.LTR.BART.2022.TWI","NEON.LTR.BART.2022.TWI.CN","A00000154995","vegetation","N",-4.0,-28.9,0.69,51.97,75.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","H2ehOOFsaDPhLGs9nIVRag==","bEP9Ut5BMUSEVHTehx6p8Q==",
"f814be0a-6e92-436e-9723-77b980a8f37d","2023-04-17","BART_036.basePlot.ltr","D01","BART","BART_036","tower","2021-10-26T16:00Z","2022-04-12T16:00Z","NEON.LTR.BART.2022.MXT","NEON.LTR.BART.2022.MXT.CN","A00000154999","vegetation","N",-2.8,-28.8,1.27,51.13,40.1,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","H2ehOOFsaDPhLGs9nIVRag==","bEP9Ut5BMUSEVHTehx6p8Q==",
