uid,namedLocation,domainID,siteID,plotID,trapID,weighDate,setDate,collectDate,eventID,ovenStartDate,ovenEndDate,fieldSampleID,sampleCondition,massSampleID,samplingProtocolVersion,biogeoSample,functionalGroup,dryMass,qaDryMass,remarks,measuredBy
"7d609469-11c1-41e2-8e77-bfa8547e04d6","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_884",,"2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-19T20:00Z","NEON.LTR.BART040884.20210705","OK","NEON.LTR.BART040884.20210705.MXT","NEON.DOC.001710vH","N","Mixed",0.0000,"N",,
"b7bbe927-b250-4e08-8c3a-746b78fa46f2","BART_042.basePlot.ltr","D01","BART","BART_042","BART_042_587","2021-07-17","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-16T13:52Z","NEON.LTR.BART042587.20210705","OK","NEON.LTR.BART042587.20210705.MXT","NEON.DOC.001710vH","N","Mixed",0.5500,"N",,
"64b97fdb-a999-4be5-8ddc-d45e1e48d0d9","BART_042.basePlot.ltr","D01","BART","BART_042","BART_042_935","2021-07-20","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-19T20:12Z","NEON.LTR.BART042935.20210705","OK","NEON.LTR.BART042935.20210705.TWI","NEON.DOC.001710vH","N","Twigs/branches",0.0400,"N",,
"6366dda0-6b56-420b-8dbd-ae1765af5ceb","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_539","2021-07-17","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-16T14:01Z","NEON.LTR.BART073539.20210705","OK","NEON.LTR.BART073539.20210705.WDY","NEON.DOC.001710vH","N","Woody material",1.2500,"N",,
"5199a5c3-1317-408f-95e2-59cbf56f0d7c","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_158","2021-07-20","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-19T20:41Z","NEON.LTR.BART040158.20210705","OK","NEON.LTR.BART040158.20210705.NDL","NEON.DOC.001710vH","N","Needles",0.0050,"N",,
"04ac3039-4faa-4021-a299-934c48f01e50","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_539","2021-07-17","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-16T14:01Z","NEON.LTR.BART073539.20210705","OK","NEON.LTR.BART073539.20210705.LVS","NEON.DOC.001710vH","N","Leaves",2.4200,"N",,
"4c6d7093-6a72-4256-8be9-576a2e25bbd4","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_165","2021-07-17","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-16T14:15Z","NEON.LTR.BART071165.20210705","OK","NEON.LTR.BART071165.20210705.TWI","NEON.DOC.001710vH","N","Twigs/branches",0.0050,"N",,
"426f637e-270f-4b09-bf7d-2ba668db4194","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2021-07-21","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-20T11:53Z","NEON.LTR.BART073409.20210705","OK","NEON.LTR.BART073409.20210705.OTH","NEON.DOC.001710vH","N","Other",0.4100,"N",,
"aa592c1c-0f25-4afb-a375-455641bc322d","BART_047.basePlot.ltr","D01","BART","BART_047","BART_047_046","2021-07-21","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-20T11:23Z","NEON.LTR.BART047046.20210705","OK","NEON.LTR.BART047046.20210705.OTH","NEON.DOC.001710vH","N","Other",0.2200,"N",,
"fbc0cff2-177c-46f9-ad5a-15cf472e9ff5","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_539","2021-07-17","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-16T14:01Z","NEON.LTR.BART073539.20210705","OK","NEON.LTR.BART073539.20210705.OTH","NEON.DOC.001710vH","N","Other",0.2000,"N",,
"195d86a5-e848-4bd3-bc08-3944b15ef55b","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_158","2021-07-20","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-19T20:41Z","NEON.LTR.BART040158.20210705","OK","NEON.LTR.BART040158.20210705.MXT","NEON.DOC.001710vH","N","Mixed",0.1700,"N",,
"7d2bdae4-73d5-4fc3-93f5-4245cc624fd7","BART_047.basePlot.ltr","D01","BART","BART_047","BART_047_046","2021-07-21","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-20T11:50Z","NEON.LTR.BART047046.20210705","OK","NEON.LTR.BART047046.20210705.WDY","NEON.DOC.001710vH","N","Woody material",0.0300,"N",,
"c19bd632-9e45-43c3-ba90-bb99b4a62ba5","BART_042.basePlot.ltr","D01","BART","BART_042","BART_042_587","2021-07-17","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-16T13:52Z","NEON.LTR.BART042587.20210705","OK","NEON.LTR.BART042587.20210705.NDL","NEON.DOC.001710vH","N","Needles",0.9400,"N",,
"4c1439c9-8166-4b2f-a175-1444a58248bc","BART_042.basePlot.ltr","D01","BART","BART_042","BART_042_587","2021-07-17","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-16T13:52Z","NEON.LTR.BART042587.20210705","OK","NEON.LTR.BART042587.20210705.TWI","NEON.DOC.001710vH","N","Twigs/branches",0.0050,"N",,
"8c400f66-bda7-469d-842e-12e46b6b21ee","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_165","2021-07-17","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-16T14:15Z","NEON.LTR.BART071165.20210705","OK","NEON.LTR.BART071165.20210705.NDL","NEON.DOC.001710vH","N","Needles",0.3200,"N",,
"d73a55b2-c625-4ad6-96c9-ee48c800ac17","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_884","2021-07-20","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-19T20:00Z","NEON.LTR.BART040884.20210705","OK","NEON.LTR.BART040884.20210705.OTH","NEON.DOC.001710vH","N","Other",0.5000,"N",,
"45e69021-c531-4337-b9c1-cd2208ac23e3","BART_047.basePlot.ltr","D01","BART","BART_047","BART_047_046","2021-07-21","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-20T11:23Z","NEON.LTR.BART047046.20210705","OK","NEON.LTR.BART047046.20210705.LVS","NEON.DOC.001710vH","N","Leaves",0.5300,"N",,
"dec21910-f9f3-4ab5-88e8-5cd1c126516b","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2021-07-22","2021-06-07","2021-07-05","LTR.2021.BART.04","2021-07-13T20:15Z","2021-07-20T11:53Z","NEON.LTR.BART073409.20210705","OK","NEON.LTR.BART073409.20210705.WDY","NEON.DOC.001710vH","N","Woody material",3.2500,"Y",,
