uid,namedLocation,domainID,siteID,plotID,trapID,weighDate,setDate,collectDate,eventID,ovenStartDate,ovenEndDate,fieldSampleID,sampleCondition,massSampleID,samplingProtocolVersion,biogeoSample,functionalGroup,dryMass,qaDryMass,remarks,measuredBy
"fce9fbbe-944a-4ef5-93dc-e82373478929","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_084","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T13:00Z","NEON.LTR.BART034084.20200803","OK","NEON.LTR.BART034084.20200803.OTH","NEON.DOC.001710vH","Y","Other",1.5500,"N",,
"0a2dbff2-c0cf-4101-8af6-c74670f726c1","BART_039.basePlot.ltr","D01","BART","BART_039","BART_039_930","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T13:00Z","NEON.LTR.BART039930.20200803","OK","NEON.LTR.BART039930.20200803.FLR","NEON.DOC.001710vH","Y","Flowers",0.0500,"N",,
"4dc8bf1b-c368-49b5-8de5-028d4c2a8906","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T13:00Z","NEON.LTR.BART032293.20200803","OK","NEON.LTR.BART032293.20200803.FLR","NEON.DOC.001710vH","Y","Flowers",0.1700,"N",,
"a92fff2a-e3bf-4150-bedf-73cffce38f0a","BART_037.basePlot.ltr","D01","BART","BART_037","BART_037_158","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T13:00Z","NEON.LTR.BART037158.20200803","OK","NEON.LTR.BART037158.20200803.MXT","NEON.DOC.001710vH","Y","Mixed",1.6800,"N",,
"71ec72c0-a33b-4bfa-affd-6942af877b62","BART_039.basePlot.ltr","D01","BART","BART_039","BART_039_587","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T13:00Z","NEON.LTR.BART039587.20200803","OK","NEON.LTR.BART039587.20200803.NDL","NEON.DOC.001710vH","Y","Needles",1.0800,"Y",,
"0bef28f2-c0ba-430f-8dcb-c8c135c5c9cd","BART_036.basePlot.ltr","D01","BART","BART_036","BART_036_151","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T16:30Z","NEON.LTR.BART036151.20200803","OK","NEON.LTR.BART036151.20200803.WDY","NEON.DOC.001710vH","Y","Woody material",0.0100,"N",,
"2522f111-2047-41ef-8fd6-3f6d90d3b267","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_084","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T16:30Z","NEON.LTR.BART034084.20200803","OK","NEON.LTR.BART034084.20200803.WDY","NEON.DOC.001710vH","Y","Woody material",0.0100,"N",,
"34a474ca-ce2d-4d3e-b61c-ac9dfaf9314a","BART_037.basePlot.ltr","D01","BART","BART_037","BART_037_158","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T16:30Z","NEON.LTR.BART037158.20200803","OK","NEON.LTR.BART037158.20200803.WDY","NEON.DOC.001710vH","Y","Woody material",0.0500,"N",,
"31d04542-08bf-4d1a-8134-f922282a444d","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_855","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T16:30Z","NEON.LTR.BART034855.20200803","OK","NEON.LTR.BART034855.20200803.WDY","NEON.DOC.001710vH","Y","Woody material",0.7400,"N",,
"d938609d-4ca8-45c5-b4e1-f8b9e13a925c","BART_070.basePlot.ltr","D01","BART","BART_070","BART_070_790","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T13:00Z","NEON.LTR.BART070790.20200803","OK","NEON.LTR.BART070790.20200803.FLR","NEON.DOC.001710vH","Y","Flowers",0.3400,"N",,
"ccd09b19-40a1-4a93-86cc-d804d352bf9b","BART_039.basePlot.ltr","D01","BART","BART_039","BART_039_587","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T16:30Z","NEON.LTR.BART039587.20200803","OK","NEON.LTR.BART039587.20200803.WDY","NEON.DOC.001710vH","Y","Woody material",0.0100,"N",,
"2d4c1a19-d2d3-4915-ba61-19709aabd4cc","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_578","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T13:00Z","NEON.LTR.BART041578.20200803","OK","NEON.LTR.BART041578.20200803.TWI","NEON.DOC.001710vH","Y","Twigs/branches",0.0600,"Y",,
"5ad106b2-5de0-449b-ba19-84f9fc646c7c","BART_041.basePlot.ltr","D01","BART","BART_041","BART_041_292","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T13:00Z","NEON.LTR.BART041292.20200803","OK","NEON.LTR.BART041292.20200803.SDS","NEON.DOC.001710vH","Y","Seeds",0.0000,"N",,
"27cf10f2-ca07-4a80-815b-86779843e7cb","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_165","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T13:00Z","NEON.LTR.BART071165.20200803","OK","NEON.LTR.BART071165.20200803.SDS","NEON.DOC.001710vH","Y","Seeds",0.0050,"N",,
"46ccdcf9-4764-46af-bf88-b6b8e1bbb7ee","BART_032.basePlot.ltr","D01","BART","BART_032","BART_032_293","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T13:00Z","NEON.LTR.BART032293.20200803","OK","NEON.LTR.BART032293.20200803.NDL","NEON.DOC.001710vH","Y","Needles",1.0100,"N",,
"823aaae9-62bb-4d17-9d3f-fd8fdbc262f3","BART_033.basePlot.ltr","D01","BART","BART_033","BART_033_923","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T13:00Z","NEON.LTR.BART033923.20200803","OK","NEON.LTR.BART033923.20200803.WDY","NEON.DOC.001710vH","Y","Woody material",0.0500,"N",,
"9f965cf8-04e1-45b5-a674-4fff9bf94f0c","BART_070.basePlot.ltr","D01","BART","BART_070","BART_070_553","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T13:00Z","NEON.LTR.BART070553.20200803","OK","NEON.LTR.BART070553.20200803.FLR","NEON.DOC.001710vH","Y","Flowers",0.0000,"N",,
"fe3e00c8-9185-4ddb-b794-742857eb18c6","BART_037.basePlot.ltr","D01","BART","BART_037","BART_037_158","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T13:00Z","NEON.LTR.BART037158.20200803","OK","NEON.LTR.BART037158.20200803.NDL","NEON.DOC.001710vH","Y","Needles",0.3500,"Y",,
"5d8f3262-1321-4484-92c6-1e2082b3d642","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_165","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T13:00Z","NEON.LTR.BART071165.20200803","OK","NEON.LTR.BART071165.20200803.LVS","NEON.DOC.001710vH","Y","Leaves",0.7700,"Y",,
"c09162c7-f773-46f7-bcff-f8560a180e30","BART_036.basePlot.ltr","D01","BART","BART_036","BART_036_925","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T16:30Z","NEON.LTR.BART036925.20200803","OK","NEON.LTR.BART036925.20200803.WDY","NEON.DOC.001710vH","Y","Woody material",0.3400,"N",,
"377a92e4-55ba-4a1e-b3da-ee85c046c0bf","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_165","2020-08-09","2020-07-05","2020-08-03","LTR.2020.BART.05","2020-08-07T22:30Z","2020-08-09T16:30Z","NEON.LTR.BART071165.20200803","OK","NEON.LTR.BART071165.20200803.TWI","NEON.DOC.001710vH","Y","Twigs/branches",0.1800,"N",,
