uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"5097b8e6-e0c2-4b77-a308-9eafe05d1b3d","2023-02-01","BART_073.basePlot.ltr","D01","BART","BART_073","tower","2022-09-12T16:00Z","2022-09-26T16:00Z","NEON.LTR.BART073.20220926.NDL","NEON.LTR.BART073.20220926.NDL.LIG","A00000154917",1,0.499,16.64,18.97,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","g2Nnhw2rHMc=","j+NchQmCR3uWeXRzNkSPNw==",
"59688a3d-a121-4d3b-8798-c08b1afc929b","2023-02-01","BART_071.basePlot.ltr","D01","BART","BART_071","tower","2022-09-12T16:00Z","2022-09-26T16:00Z","NEON.LTR.BART071.20220926.NDL","NEON.LTR.BART071.20220926.NDL.LIG","A00000154964",1,0.478,27.08,21.97,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","g2Nnhw2rHMc=","j+NchQmCR3uWeXRzNkSPNw==",
"c369eff6-b279-45c7-85e4-0356ac6f78ed","2023-02-01","BART_042.basePlot.ltr","D01","BART","BART_042","tower","2022-09-12T16:00Z","2022-09-27T16:00Z","NEON.LTR.BART042.20220927.NDL","NEON.LTR.BART042.20220927.NDL.LIG","A00000154947",1,0.474,23.79,21.00,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","g2Nnhw2rHMc=","j+NchQmCR3uWeXRzNkSPNw==",
"f54ff017-6718-4a38-ad13-dad1e4151f49","2023-02-01","BART_050.basePlot.ltr","D01","BART","BART_050","tower","2022-09-12T16:00Z","2022-09-27T16:00Z","NEON.LTR.BART050.20220927.NDL","NEON.LTR.BART050.20220927.NDL.LIG","A00000154915",1,0.495,18.75,19.20,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","g2Nnhw2rHMc=","j+NchQmCR3uWeXRzNkSPNw==",
"34b08215-7018-48e4-9779-6353433f4381","2023-02-01","BART_044.basePlot.ltr","D01","BART","BART_044","tower","2022-09-12T16:00Z","2022-09-27T16:00Z","NEON.LTR.BART044.20220927.NDL","NEON.LTR.BART044.20220927.NDL.LIG","A00000154978",1,0.475,15.96,18.33,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","g2Nnhw2rHMc=","j+NchQmCR3uWeXRzNkSPNw==",
