uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,eventID,processingDate,massSampleIDList,massSampleMixtureID,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleBarcode,bgcArchiveMass,toxicodendronPossible,remarks,processedBy
"c91edb71-4213-456d-b894-18ccc2ab8ad9","BART_071.basePlot.ltr","D01","BART","BART_071","2022-09-12","2022-09-26","LTR.2022.BART.39","2022-11-16","NEON.LTR.BART071579.20220926.NDL|NEON.LTR.BART071165.20220926.NDL","NEON.LTR.BART071.20220926.NDL","NEON.LTR.BART071.20220926.NDL.CN","A00000154980","NEON.LTR.BART071.20220926.NDL.LIG","A00000154964","NEON.LTR.BART071.20220926.NDL.AR","A00000154948",3.24,"N",,"0000-0003-1933-3182"
"00dcd291-8da5-4c2e-b176-89b2ba4e6511","BART_047.basePlot.ltr","D01","BART","BART_047","2022-09-12","2022-09-26","LTR.2022.BART.39","2022-11-17","NEON.LTR.BART047864.20220926.NDL|NEON.LTR.BART047046.20220926.NDL","NEON.LTR.BART047.20220926.NDL","NEON.LTR.BART047.20220926.NDL.CN","A00000154930",,,,,,"N","1.54 grams. Sample not ground.","0000-0003-1933-3182"
"94d91d46-8c36-4104-928b-3686899c48f5","BART_073.basePlot.ltr","D01","BART","BART_073","2022-09-12","2022-09-26","LTR.2022.BART.39","2022-11-17","NEON.LTR.BART073539.20220926.NDL|NEON.LTR.BART073409.20220926.NDL","NEON.LTR.BART073.20220926.NDL","NEON.LTR.BART073.20220926.NDL.CN","A00000154996","NEON.LTR.BART073.20220926.NDL.LIG","A00000154917",,,,"N",,"0000-0003-1933-3182"
"b2d28ef4-413d-420b-b5c6-c041d2eb8b57","BART_042.basePlot.ltr","D01","BART","BART_042","2022-09-12","2022-09-27","LTR.2022.BART.39","2022-11-17","NEON.LTR.BART042935.20220927.NDL|NEON.LTR.BART042587.20220927.NDL","NEON.LTR.BART042.20220927.NDL","NEON.LTR.BART042.20220927.NDL.CN","A00000154963","NEON.LTR.BART042.20220927.NDL.LIG","A00000154947",,,,"N",,"0000-0003-1933-3182"
"dfe0b073-69df-43aa-9498-f311add98f25","BART_044.basePlot.ltr","D01","BART","BART_044","2022-09-12","2022-09-27","LTR.2022.BART.39","2022-11-16","NEON.LTR.BART044410.20220927.NDL|NEON.LTR.BART044531.20220927.NDL","NEON.LTR.BART044.20220927.NDL","NEON.LTR.BART044.20220927.NDL.CN","A00000154946","NEON.LTR.BART044.20220927.NDL.LIG","A00000154978",,,,"N",,"0000-0003-1933-3182"
"0bb0532a-c6f7-41c7-9604-2281351e7aad","BART_046.basePlot.ltr","D01","BART","BART_046","2022-09-12","2022-09-27","LTR.2022.BART.39","2022-11-17","NEON.LTR.BART046634.20220927.NDL|NEON.LTR.BART046852.20220927.NDL","NEON.LTR.BART046.20220927.NDL","NEON.LTR.BART046.20220927.NDL.CN","A00000154962",,,,,,"N","0.37 grams. Sample not ground.","0000-0003-1933-3182"
"878bb436-7899-4542-902f-62d4cdfbb756","BART_050.basePlot.ltr","D01","BART","BART_050","2022-09-12","2022-09-27","LTR.2022.BART.39","2022-11-02","NEON.LTR.BART050046.20220927.NDL|NEON.LTR.BART050808.20220927.NDL","NEON.LTR.BART050.20220927.NDL","NEON.LTR.BART050.20220927.NDL.CN","A00000154931","NEON.LTR.BART050.20220927.NDL.LIG","A00000154915","NEON.LTR.BART050.20220927.NDL.AR","A00000154994",6.31,"N",,"0000-0002-7782-1339"
"363f1d6a-54eb-4a06-9809-13eff0b5cc46","BART_074.basePlot.ltr","D01","BART","BART_074","2022-09-12","2022-09-27","LTR.2022.BART.39","2022-11-17","NEON.LTR.BART074555.20220927.NDL|NEON.LTR.BART074942.20220927.NDL","NEON.LTR.BART074.20220927.NDL","NEON.LTR.BART074.20220927.NDL.CN","A00000154949",,,,,,"N","1.25 grams. Sample not ground.","0000-0003-1933-3182"
"acc72263-aa3a-450b-adae-1da109fd4371","BART_036.basePlot.ltr","D01","BART","BART_036","2022-09-12","2022-09-27","LTR.2022.BART.39","2022-11-17","NEON.LTR.BART036925.20220927.NDL|NEON.LTR.BART036151.20220927.NDL","NEON.LTR.BART036.20220927.NDL","NEON.LTR.BART036.20220927.NDL.CN","A00000154979",,,,,,"N","0.55 grams. Sample not ground.","0000-0003-1933-3182"
