uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"77ab18f9-bb8c-4c10-a72d-1284084d6690","2017-03-31","BART_073.basePlot.ltr","D01","BART","BART_073","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART073.20161010.NDL","NEON.LTR.BART073.20161010.NDL.CN",,"vegetation","N",-1.8,-30.6,0.50,51.70,108.4,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"34f8d2de-e4f9-458a-a423-378614ebd14f","2017-03-30","BART_071.basePlot.ltr","D01","BART","BART_071","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART071.20161010.NDL","NEON.LTR.BART071.20161010.NDL.CN",,"vegetation","N",1.9,-29.7,0.40,52.70,118.1,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"a788977d-8fed-40b7-ac6b-dc33134d913b","2017-03-30","BART_039.basePlot.ltr","D01","BART","BART_039","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART039.20161010.LVS","NEON.LTR.BART039.20161010.LVS.CN",,"vegetation","N",-2.4,-27.4,0.50,50.40,97.3,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"452938cb-cce7-4a35-9c44-fcf07de07f72","2017-03-30","BART_073.basePlot.ltr","D01","BART","BART_073","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART073.20161010.LVS","NEON.LTR.BART073.20161010.LVS.CN",,"vegetation","N",-3.6,-28.7,0.40,50.30,116.9,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"357432fe-97f5-4d26-9b03-95505775b88b","2017-03-30","BART_039.basePlot.ltr","D01","BART","BART_039","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART039.20161010.NDL","NEON.LTR.BART039.20161010.NDL.CN",,"vegetation","N",-3.1,-31.5,0.40,51.70,118.4,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"aef80ecc-21d8-4550-8db5-57ed5950ba73","2017-03-30","BART_041.basePlot.ltr","D01","BART","BART_041","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART041.20161010.NDL","NEON.LTR.BART041.20161010.NDL.CN",,"vegetation","N",-1.7,-28.9,0.50,53.10,107.0,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"43b1f687-c63f-4784-8f4e-05a5ff1b09cd","2017-03-30","BART_041.basePlot.ltr","D01","BART","BART_041","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART041.20161010.LVS","NEON.LTR.BART041.20161010.LVS.CN",,"vegetation","N",-2.9,-28.2,0.60,50.60,81.8,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"ce06d6af-53fe-43ee-a2f7-e4cf84ac7916","2017-03-30","BART_071.basePlot.ltr","D01","BART","BART_071","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART071.20161010.LVS","NEON.LTR.BART071.20161010.LVS.CN",,"vegetation","N",-2.5,-28.8,0.50,50.90,111.4,"OK","OK",,,2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"47f092e1-666c-4bce-b3a1-fb6db9e45747","2017-03-30","BART_034.basePlot.ltr","D01","BART","BART_034","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART034.20161010.LVS","NEON.LTR.BART034.20161010.LVS.CN",,"vegetation","N",-4.0,-28.3,0.50,50.90,98.7,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"5fbd41c5-815a-4f51-bf92-a18392ee4b8e","2017-03-30","BART_071.basePlot.ltr","D01","BART","BART_071","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART071.20161010.LVS","NEON.LTR.BART071.20161010.LVS.CN",,"vegetation","N",-2.4,-28.9,0.40,50.80,113.8,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"b734c177-9ad6-4d37-a86d-f3075687af75","2017-03-30","BART_032.basePlot.ltr","D01","BART","BART_032","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART032.20161010.LVS","NEON.LTR.BART032.20161010.LVS.CN",,"vegetation","N",-2.6,-28.7,0.50,50.60,98.4,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"1e2d27d5-22ab-4cda-b5b3-a25fd72bd772","2017-03-30","BART_032.basePlot.ltr","D01","BART","BART_032","tower","2016-09-19T16:00Z","2016-10-10T16:00Z","NEON.LTR.BART032.20161010.NDL","NEON.LTR.BART032.20161010.NDL.CN",,"vegetation","N",2.6,-28.4,0.50,53.00,102.7,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
"b9075de0-6a68-4ef5-8957-9bc534e387f2","2017-03-30","BART_033.basePlot.ltr","D01","BART","BART_033","tower","2016-09-19T16:00Z","2016-10-11T16:00Z","NEON.LTR.BART033.20161011.LVS","NEON.LTR.BART033.20161011.LVS.CN",,"vegetation","N",-3.8,-28.8,0.60,49.50,86.1,"OK","OK",,,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","dryingProtocolError"
