uid,namedLocation,domainID,siteID,plotID,trapID,weighDate,setDate,collectDate,eventID,ovenStartDate,ovenEndDate,fieldSampleID,sampleCondition,massSampleID,samplingProtocolVersion,biogeoSample,functionalGroup,dryMass,qaDryMass,remarks,measuredBy
"64347230-1383-4494-bc85-a11aa2639180","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_539","2023-04-25","2022-10-24","2023-04-10","LTR.2023.BART.15","2023-04-17T20:54Z","2023-04-24T16:40Z","NEON.LTR.BART073539.20230410","OK","NEON.LTR.BART073539.20230410.LVS","NEON.DOC.001710vJ","N","Leaves",10.8400,"N",,"0000-0003-2369-8379"
"de420afe-5dfb-4356-b870-7773527b11b0","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2023-04-20","2022-10-24","2023-04-10","LTR.2023.BART.15","2023-04-17T20:30Z","2023-04-19T20:29Z","NEON.LTR.BART073409.20230410","OK","NEON.LTR.BART073409.20230410.TWI","NEON.DOC.001710vJ","N","Twigs/branches",10.9900,"N",,"0000-0003-2369-8379"
"4be687a7-d743-4e75-8356-ffa42974be9e","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2023-04-25","2022-10-24","2023-04-10","LTR.2023.BART.15","2023-04-17T20:30Z","2023-04-24T16:51Z","NEON.LTR.BART073409.20230410","OK","NEON.LTR.BART073409.20230410.OTH","NEON.DOC.001710vJ","N","Other",2.4200,"N",,"0000-0003-2369-8379"
"01a48c96-8805-4638-a4f4-1bcd117de9e8","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_539","2023-04-25","2022-10-24","2023-04-10","LTR.2023.BART.15","2023-04-17T20:54Z","2023-04-24T16:40Z","NEON.LTR.BART073539.20230410","OK","NEON.LTR.BART073539.20230410.FLR","NEON.DOC.001710vJ","N","Flowers",0.0700,"N",,"0000-0003-2369-8379"
"68335483-3e55-4be6-a1c1-65a1552b4d1a","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2023-04-25","2022-10-24","2023-04-10","LTR.2023.BART.15","2023-04-17T20:30Z","2023-04-24T16:51Z","NEON.LTR.BART073409.20230410","OK","NEON.LTR.BART073409.20230410.LVS","NEON.DOC.001710vJ","N","Leaves",24.7000,"N",,"0000-0003-2369-8379"
"3c6417a5-badc-4c95-a7b2-b66dbe140d73","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2023-04-20","2022-10-24","2023-04-10","LTR.2023.BART.15","2023-04-17T20:30Z","2023-04-19T20:29Z","NEON.LTR.BART073409.20230410","OK","NEON.LTR.BART073409.20230410.WDY","NEON.DOC.001710vJ","N","Woody material",12.1700,"N",,"0000-0003-2369-8379"
"fc97dbd1-439a-452d-b84f-a27fb0524237","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_539","2023-04-25","2022-10-24","2023-04-10","LTR.2023.BART.15","2023-04-17T20:54Z","2023-04-24T16:40Z","NEON.LTR.BART073539.20230410","OK","NEON.LTR.BART073539.20230410.TWI","NEON.DOC.001710vJ","N","Twigs/branches",4.4200,"Y",,"0000-0003-2369-8379"
"86091135-450e-46bd-ab62-3fab500b7b10","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_539","2023-04-25","2022-10-24","2023-04-10","LTR.2023.BART.15","2023-04-17T20:54Z","2023-04-24T12:52Z","NEON.LTR.BART073539.20230410","OK","NEON.LTR.BART073539.20230410.TWI","NEON.DOC.001710vJ","N","Twigs/branches",4.4600,"N",,"0000-0003-2369-8379"
"4c8cabf3-ca57-4de9-ae8a-cfc9b05daf91","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2023-04-25","2022-10-24","2023-04-10","LTR.2023.BART.15","2023-04-17T20:30Z","2023-04-24T16:51Z","NEON.LTR.BART073409.20230410","OK","NEON.LTR.BART073409.20230410.MXT","NEON.DOC.001710vJ","N","Mixed",8.7900,"N",,"0000-0003-2369-8379"
"4fa81912-0736-4f79-a7b5-38b63bfbf814","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2023-04-26","2022-10-24","2023-04-10","LTR.2023.BART.15","2023-04-17T20:30Z","2023-04-24T16:51Z","NEON.LTR.BART073409.20230410","OK","NEON.LTR.BART073409.20230410.LVS","NEON.DOC.001710vJ","N","Leaves",24.5600,"Y",,"0000-0003-2369-8379"
