uid,namedLocation,domainID,siteID,plotID,trapID,weighDate,setDate,collectDate,eventID,ovenStartDate,ovenEndDate,fieldSampleID,sampleCondition,massSampleID,samplingProtocolVersion,biogeoSample,functionalGroup,dryMass,qaDryMass,remarks,measuredBy
"51087c02-2323-4153-a39f-ff196d6daa56","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_158",,"2022-09-26","2022-10-10","LTR.2022.BART.41",,,"NEON.LTR.BART040158.20221010","OK","NEON.LTR.BART040158.20221010.TWI","NEON.DOC.001710vJ","N","Twigs/branches",0.0000,"N",,"0000-0001-5083-3789"
"a3e7f78a-2b04-4bba-84f7-cda849c60d1d","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_539",,"2022-09-26","2022-10-10","LTR.2022.BART.41",,,"NEON.LTR.BART073539.20221010","OK","NEON.LTR.BART073539.20221010.TWI","NEON.DOC.001710vJ","N","Twigs/branches",0.0000,"N",,"0000-0001-5083-3789"
"c60e70dd-6216-442c-93bd-e0bc432539c5","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2022-10-19","2022-09-26","2022-10-10","LTR.2022.BART.41","2022-10-12T19:09Z","2022-10-18T14:49Z","NEON.LTR.BART073409.20221010","OK","NEON.LTR.BART073409.20221010.OTH","NEON.DOC.001710vJ","N","Other",0.0050,"N",,"0000-0001-5083-3789"
"0ce99551-ea60-4a8b-a0f6-9ad1fbeab309","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_884","2022-10-19","2022-09-26","2022-10-10","LTR.2022.BART.41","2022-10-12T19:09Z","2022-10-18T15:10Z","NEON.LTR.BART040884.20221010","OK","NEON.LTR.BART040884.20221010.NDL","NEON.DOC.001710vJ","N","Needles",0.0050,"N",,"0000-0001-5083-3789"
"bff4738f-887f-48e3-869c-214079bf8730","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409",,"2022-09-26","2022-10-10","LTR.2022.BART.41",,,"NEON.LTR.BART073409.20221010","OK","NEON.LTR.BART073409.20221010.FLR","NEON.DOC.001710vJ","N","Flowers",0.0000,"N",,"0000-0001-5083-3789"
"4f316823-561e-41ab-b789-60ae028662f0","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409",,"2022-09-26","2022-10-10","LTR.2022.BART.41",,,"NEON.LTR.BART073409.20221010","OK","NEON.LTR.BART073409.20221010.SDS","NEON.DOC.001710vJ","N","Seeds",0.0000,"N",,"0000-0001-5083-3789"
"939899ae-3660-43b0-9c15-9cf19b545a83","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_158","2022-10-19","2022-09-26","2022-10-10","LTR.2022.BART.41","2022-10-12T19:09Z","2022-10-18T15:36Z","NEON.LTR.BART040158.20221010","OK","NEON.LTR.BART040158.20221010.SDS","NEON.DOC.001710vJ","N","Seeds",0.0050,"N",,"0000-0001-5083-3789"
"97a718f3-4a2c-4195-87da-6e5589fadbf6","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2022-10-19","2022-09-26","2022-10-10","LTR.2022.BART.41","2022-10-12T19:09Z","2022-10-18T14:49Z","NEON.LTR.BART073409.20221010","OK","NEON.LTR.BART073409.20221010.NDL","NEON.DOC.001710vJ","N","Needles",0.7900,"N",,"0000-0001-5083-3789"
"c5702811-fbba-49f3-ba99-b6083b30dd4b","BART_047.basePlot.ltr","D01","BART","BART_047","BART_047_864",,"2022-09-26","2022-10-10","LTR.2022.BART.41",,,"NEON.LTR.BART047864.20221010","OK","NEON.LTR.BART047864.20221010.SDS","NEON.DOC.001710vJ","N","Seeds",0.0000,"N",,"0000-0001-5083-3789"
"12945233-2884-47f9-8110-cd5af41840c5","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_539","2022-10-19","2022-09-26","2022-10-10","LTR.2022.BART.41","2022-10-12T19:09Z","2022-10-18T14:33Z","NEON.LTR.BART073539.20221010","OK","NEON.LTR.BART073539.20221010.WDY","NEON.DOC.001710vJ","N","Woody material",0.0050,"N",,"0000-0001-5083-3789"
"199da31f-7b07-43ae-95f0-f52397332125","BART_040.basePlot.ltr","D01","BART","BART_040","BART_040_884","2022-10-19","2022-09-26","2022-10-10","LTR.2022.BART.41","2022-10-12T19:09Z","2022-10-18T15:10Z","NEON.LTR.BART040884.20221010","OK","NEON.LTR.BART040884.20221010.SDS","NEON.DOC.001710vJ","N","Seeds",0.0050,"N",,"0000-0001-5083-3789"
"b1f23af1-ffb8-4104-ae63-c19a418e43c4","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409","2022-10-19","2022-09-26","2022-10-10","LTR.2022.BART.41","2022-10-12T19:09Z","2022-10-18T14:49Z","NEON.LTR.BART073409.20221010","OK","NEON.LTR.BART073409.20221010.TWI","NEON.DOC.001710vJ","N","Twigs/branches",0.0050,"N",,"0000-0001-5083-3789"
"15227100-6f51-4451-9865-cfc0c616be2e","BART_073.basePlot.ltr","D01","BART","BART_073","BART_073_409",,"2022-09-26","2022-10-10","LTR.2022.BART.41",,,"NEON.LTR.BART073409.20221010","OK","NEON.LTR.BART073409.20221010.WDY","NEON.DOC.001710vJ","N","Woody material",0.0000,"N",,"0000-0001-5083-3789"
"95c09fd1-1677-4c15-bb3e-17e563be585d","BART_047.basePlot.ltr","D01","BART","BART_047","BART_047_046",,"2022-09-26","2022-10-10","LTR.2022.BART.41",,,"NEON.LTR.BART047046.20221010","OK","NEON.LTR.BART047046.20221010.WDY","NEON.DOC.001710vJ","N","Woody material",0.0000,"N",,"0000-0001-5083-3789"
"90596aa9-a37e-4b68-a9d5-8363b0176dee","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_579","2022-10-19","2022-09-26","2022-10-10","LTR.2022.BART.41","2022-10-12T19:09Z","2022-10-18T14:40Z","NEON.LTR.BART071579.20221010","OK","NEON.LTR.BART071579.20221010.WDY","NEON.DOC.001710vJ","N","Woody material",0.0050,"N",,"0000-0001-5083-3789"
"cba1b572-0222-4ca5-b944-e1f74d6cadc4","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_579","2022-10-19","2022-09-26","2022-10-10","LTR.2022.BART.41","2022-10-12T19:09Z","2022-10-18T14:40Z","NEON.LTR.BART071579.20221010","OK","NEON.LTR.BART071579.20221010.OTH","NEON.DOC.001710vJ","N","Other",0.1300,"N",,"0000-0001-5083-3789"
"d5f3882e-37a3-42f6-a424-019df3031b8e","BART_047.basePlot.ltr","D01","BART","BART_047","BART_047_864",,"2022-09-26","2022-10-10","LTR.2022.BART.41",,,"NEON.LTR.BART047864.20221010","OK","NEON.LTR.BART047864.20221010.FLR","NEON.DOC.001710vJ","N","Flowers",0.0000,"N",,"0000-0001-5083-3789"
"1d649f87-e306-40d4-8c94-cbdd6d87e8f1","BART_071.basePlot.ltr","D01","BART","BART_071","BART_071_579","2022-10-19","2022-09-26","2022-10-10","LTR.2022.BART.41","2022-10-12T19:09Z","2022-10-18T14:40Z","NEON.LTR.BART071579.20221010","OK","NEON.LTR.BART071579.20221010.MXT","NEON.DOC.001710vJ","N","Mixed",0.1900,"N",,"0000-0001-5083-3789"
